,gene_name,entrez_id
293,MED24,9862
294,UMOD,7369
295,TMEM47,83604
296,PI4KA,5297
297,MPP4,58538
298,MTMR14,64419
299,CEP44,80817
300,SELENOW,6415
301,FXYD6,53826
302,LARP6,55323
303,PHYHIPL,84457
304,IL34,146433
305,ZNF585A,199704
306,RTKN,6242
307,COMTD1,118881
308,LILRA1,11024
309,SSX1,6756
310,SDR42E1,93517
311,NPAS3,64067
312,C1QL2,165257
313,FOXG1,2290
314,PRIM2,5558
315,MIGA1,374986
316,WFIKKN1,117166
317,CDH11,1009
318,OR10K1,391109
319,CNOT4,4850
320,ARPC3,10094
321,RER1,11079
322,MT1E,4493
323,RFNG,5986
324,LCORL,254251
325,EIF3A,8661
326,DOCK9,23348
327,ITK,3702
328,OR2H1,26716
329,PIP4P2,55529
330,LINC02210-CRHR1,104909134
331,FRK,2444
332,HUS1,3364
333,ZBTB7A,51341
334,AQP5,362
335,KLRC4,8302
336,ZNF431,170959
337,HPCA,3208
338,FBH1,84893
339,CNNM4,26504
340,R3HDM4,91300
341,PKP2,5318
342,BAG1,573
343,MKNK2,2872
344,C20orf27,54976
345,SF3A3,10946
346,NFU1,27247
347,ADM5,199800
348,SDR9C7,121214
349,TRMT112,51504
350,SLC45A2,51151
351,DEXI,28955
352,PRAMEF12,390999
353,SLC25A20,788
354,TWISTNB,221830
355,NKAIN3,286183
356,UVRAG,7405
357,SPANXN4,441525
358,EHBP1L1,254102
359,TACC1,6867
360,MED10,84246
361,FMR1NB,158521
362,RTN1,6252
363,ABHD14A-ACY1,100526760
364,AVL9,23080
365,SMYD1,150572
366,GPC2,221914
367,SPATA5L1,79029
368,IPO11,51194
369,EPYC,1833
370,CLIC2,1193
371,MON1A,84315
372,MOSPD3,64598
373,SPHK1,8877
374,METTL24,728464
375,AKR7A2,8574
376,OR2AP1,121129
377,SLC35A2,7355
378,NDUFA2,4695
379,TEKT2,27285
380,PHETA1,144717
381,FAM177A1,283635
382,MPHOSPH6,10200
383,SPOCK1,6695
384,NFKB2,4791
385,OR5T3,390154
386,GPR179,440435
387,S1PR4,8698
388,KDELR3,11015
389,APOLD1,81575
390,RPA3,6119
391,LPL,4023
392,ASB9,140462
393,APOL2,23780
394,ZNF57,126295
395,HGH1,51236
396,DECR2,26063
397,GSG1L,146395
398,DEF6,50619
399,PLOD3,8985
400,USP9X,8239
401,C1orf43,25912
402,GPR171,29909
403,CBLL2,158506
404,LHX2,9355
405,NXPH4,11247
406,TMEM35A,59353
407,ATP9B,374868
408,DSG4,147409
409,SERHL2,253190
410,CEMIP,57214
411,SPATS2,65244
412,HES7,84667
413,LRP6,4040
414,SFRP5,6425
415,CCDC130,81576
416,GGT1,2678
417,VWA7,80737
418,SERPINA11,256394
419,COL11A1,1301
420,TRADD,8717
421,SMAD3,4088
422,CDKN1A,1026
423,NFE2L3,9603
424,TMEM61,199964
425,CMTR2,55783
426,NAPB,63908
427,RIOX1,79697
428,STEAP4,79689
429,ARF5,381
430,GNRH1,2796
431,GOLGB1,2804
432,SPNS2,124976
433,APOB,338
434,AKR1C3,8644
435,OR1S2,219958
436,CLASP2,23122
437,HSD17B11,51170
438,SMPD3,55512
439,NEUROD2,4761
440,IL15,3600
441,ZFAND1,79752
442,PAX7,5081
443,COX16,51241
444,MBTPS2,51360
445,RPL24,6152
446,SLC16A5,9121
447,ADAM29,11086
448,NIPAL2,79815
449,POLA2,23649
450,CEACAM18,729767
451,GON7,84520
452,ZMAT2,153527
453,NAT2,10
454,CSRP3,8048
455,SLC45A3,85414
456,GTF2B,2959
457,CLIP3,25999
458,CIB1,10519
459,MVD,4597
460,TM9SF4,9777
461,PAX1,5075
462,COL7A1,1294
463,HBB,3043
464,TMEM211,255349
465,CXCL12,6387
466,PTPRR,5801
467,SDF2L1,23753
468,MS4A13,503497
469,FCHSD1,89848
470,KIF16B,55614
471,RPL36AL,6166
472,AMDHD2,51005
473,NBPF10,100132406
474,TNFAIP8L3,388121
475,DENND1C,79958
476,CPXM1,56265
477,RBM5,10181
478,PDE7B,27115
479,TEX22,647310
480,RSPH14,27156
481,TNPO3,23534
482,KCNK1,3775
483,NFS1,9054
484,OR4D6,219983
485,DDI1,414301
486,INHBE,83729
487,CH25H,9023
488,CENPV,201161
489,BECN2,441925
490,EIF2B5,8893
491,SLC37A3,84255
492,VWA8,23078
493,HERC4,26091
494,LMOD1,25802
495,NLRX1,79671
496,HHAT,55733
497,PRMT2,3275
498,TMEM131L,23240
499,YARS2,51067
500,EDC4,23644
501,INPP5F,22876
502,FAM181B,220382
503,TECTA,7007
504,CD3D,915
505,RYR3,6263
506,SPTBN5,51332
507,P2RX2,22953
508,PITPNM3,83394
509,TMEM132E,124842
510,LYZL6,57151
511,ANHX,647589
512,HM13,81502
513,IQCF3,401067
514,MFGE8,4240
515,USP38,84640
516,C1orf159,54991
517,CNMD,11061
518,HMG20A,10363
519,NDUFS1,4719
520,ORAI2,80228
521,BRCA1,672
522,KRCC1,51315
523,APOA1,335
524,CARD18,59082
525,RPS6KB1,6198
526,MARK4,57787
527,SBF1,6305
528,KCNJ14,3770
529,UQCRQ,27089
530,HS6ST2,90161
531,ADAM2,2515
532,SREK1IP1,285672
533,ARRDC4,91947
534,TMEM101,84336
535,OR14A2,388761
536,TRIM26,7726
537,EMD,2010
538,SPAG11A,653423
539,SRPRA,6734
540,LMAN2L,81562
541,AVP,551
542,MMP11,4320
543,STAMBPL1,57559
544,PDE4D,5144
545,AGT,183
546,INPP5B,3633
547,NUP43,348995
548,NRIP1,8204
549,RAX2,84839
550,GTF2I,2969
551,RPGR,6103
552,WFDC2,10406
553,CYB5B,80777
554,BTN3A2,11118
555,CCL11,6356
556,TMEM229B,161145
557,MEX3C,51320
558,ZNF528,84436
559,MCEE,84693
560,PTPN18,26469
561,CTCFL,140690
562,IL17RE,132014
563,ANKRD29,147463
564,SPO11,23626
565,MAPK6,5597
566,TMEM190,147744
567,FGD5,152273
568,RPL13A,23521
569,CHCHD6,84303
570,OTULIN,90268
571,FAM217A,222826
572,HPS6,79803
573,EBLN1,340900
574,UTP20,27340
575,MAP4K3,8491
576,CDK19,23097
577,ZUP1,221302
578,KRTAP19-4,337971
579,SIRT6,51548
580,CARNS1,57571
581,CLN6,54982
582,VAX2,25806
583,MICU2,221154
584,NCOA6,23054
585,HKDC1,80201
586,CCL16,6360
587,MAP7D1,55700
588,SLC39A7,7922
589,NDUFA11,126328
590,DYRK1B,9149
591,SLC1A2,6506
592,C15orf48,84419
593,MYLIP,29116
594,CCNYL1,151195
595,ARHGAP12,94134
596,TRPM4,54795
597,PCID2,55795
598,ASPM,259266
599,ADD1,118
600,TGFB3,7043
601,TXNDC15,79770
602,ALDH8A1,64577
603,FBXL3,26224
604,OR6K6,128371
605,FGFR3,2261
606,LRTOMT,220074
607,LMNA,4000
608,LRRC63,220416
609,LGALS9B,284194
610,TCFL5,10732
611,ZNF695,57116
612,GRPEL2,134266
613,DMBT1,1755
614,PDZD7,79955
615,ELANE,1991
616,CAMP,820
617,CENPVL3,347549
618,RELN,5649
619,FAP,2191
620,COL8A2,1296
621,ZDHHC3,51304
622,TMBIM6,7009
623,CNTNAP3B,728577
624,PTPRQ,374462
625,PXDC1,221749
626,PDIA5,10954
627,SULT1A1,6817
628,C1GALT1C1,29071
629,IFT52,51098
630,TAF1A,9015
631,DIP2B,57609
632,TMEM231,79583
633,TMEM143,55260
634,RPUSD3,285367
635,LRRC74B,400891
636,MKRN2,23609
637,APPBP2,10513
638,MFAP3L,9848
639,ACYP2,98
640,MICAL3,57553
641,AMY2B,280
642,SPATA45,149643
643,ARHGAP11B,89839
644,MRPS21,54460
645,MAL,4118
646,BEX3,27018
647,DUSP10,11221
648,APC2,10297
649,XBP1,7494
650,COL6A6,131873
651,RBFA,79863
652,HSBP1L1,440498
653,HOXA4,3201
654,WIPI1,55062
655,TSPO,706
656,TNIP2,79155
657,TEAD4,7004
658,RFX6,222546
659,TYW1,55253
660,FGFR1,2260
661,NDP,4693
662,RWDD4,201965
663,PRRC2C,23215
664,MRGPRX4,117196
665,RECQL,5965
666,FAM149A,25854
667,CGB2,114336
668,DEFB116,245930
669,JAML,120425
670,XYLB,9942
671,GNE,10020
672,SNRPA,6626
673,TRPM6,140803
674,CASC1,55259
675,LRTM2,654429
676,STRBP,55342
677,DCLRE1A,9937
678,SRGAP2C,653464
679,LAT,27040
680,CACNG1,786
681,MRPS15,64960
682,PFN4,375189
683,TMEM68,137695
684,ISX,91464
685,AP4B1,10717
686,TSPAN12,23554
687,CIB2,10518
688,ARMC4,55130
689,OGT,8473
690,KLF16,83855
691,MACF1,23499
692,MEF2A,4205
693,NDUFAF5,79133
694,LRRN3,54674
695,IFRD1,3475
696,SCGB2B2,284402
697,RIT2,6014
698,CCDC180,100499483
699,DUSP15,128853
700,TAS2R19,259294
701,RBMS2,5939
702,CPT1C,126129
703,ADAD1,132612
704,DIXDC1,85458
705,PRRT4,401399
706,SLC13A4,26266
707,SHISA3,152573
708,GPBP1L1,60313
709,LGALS16,148003
710,MRPS28,28957
711,CORT,1325
712,SLC19A3,80704
713,FAM3D,131177
714,ZFP36L1,677
715,ISL2,64843
716,ZNF462,58499
717,SWI5,375757
718,C7orf57,136288
719,ZNF646,9726
720,ATP13A3,79572
721,TMEM220,388335
722,HRAS,3265
723,KRT4,3851
724,ELF1,1997
725,BEGAIN,57596
726,TNFAIP1,7126
727,PIGP,51227
728,RSRC1,51319
729,TRIM71,131405
730,UBE2Q1,55585
731,DHRS4L2,317749
732,KDM6B,23135
733,REELD1,345051
734,FRMD8,83786
735,RBM44,375316
736,CDKN2AIP,55602
737,AMN1,196394
738,SLC16A10,117247
739,IFNA5,3442
740,SPATA31A1,647060
741,ASPA,443
742,LRRK1,79705
743,TMEM120A,83862
744,LPXN,9404
745,COX6B2,125965
746,SEL1L2,80343
747,FTHL17,53940
748,ESX1,80712
749,SPOUT1,51490
750,ASAH1,427
751,GABRE,2564
752,ZNF763,284390
753,LHPP,64077
754,UBE2A,7319
755,ASCL4,121549
756,OXA1L,5018
757,CDH4,1002
758,PRKAR2A,5576
759,LCN9,392399
760,SERINC2,347735
761,SYNM,23336
762,CDCA7,83879
763,POU5F1B,5462
764,OR4A15,81328
765,MCCD1,401250
766,ZEB1,6935
767,MYLK3,91807
768,DOCK10,55619
769,CCR5,1234
770,GSE1,23199
771,KCTD6,200845
772,SVEP1,79987
773,CT47A6,728062
774,LHFPL5,222662
775,ALKBH3,221120
776,LIMD1,8994
777,PDGFA,5154
778,CCL1,6346
779,CASP4,837
780,BCAS1,8537
781,NONO,4841
782,OASL,8638
783,MYO5C,55930
784,SNPH,9751
785,PSMD9,5715
786,TTI1,9675
787,NFASC,23114
788,CACNG3,10368
789,BANK1,55024
790,LCMT2,9836
791,CFAP52,146845
792,MYCT1,80177
793,MED12,9968
794,IRF8,3394
795,GNAO1,2775
796,UBN1,29855
797,SLC7A5,8140
798,DGUOK,1716
799,COL16A1,1307
800,ABL1,25
801,FAM104A,84923
802,RYR2,6262
803,CSTF1,1477
804,A4GALT,53947
805,TMEM161B,153396
806,HDAC2,3066
807,PPP1R8,5511
808,LRRC37A3,374819
809,HSD11B1L,374875
810,WDPCP,51057
811,FAM13A,10144
812,OR2A5,393046
813,TMEM176B,28959
814,IQCC,55721
815,CBWD3,445571
816,CSTF2,1478
817,GMCL2,64396
818,PTPN9,5780
819,TEKT3,64518
820,N4BP2,55728
821,POTEJ,653781
822,PAM,5066
823,FAM110B,90362
824,SPANXD,64648
825,ARID1B,57492
826,MORN3,283385
827,ZP1,22917
828,PSTPIP2,9050
829,C7orf31,136895
830,HBEGF,1839
831,HIP1,3092
832,PAGE3,139793
833,RPS7,6201
834,SLC35A1,10559
835,OR8D1,283159
836,HSPB6,126393
837,MRPL3,11222
838,VIPR2,7434
839,PTRHD1,391356
840,FAM13C,220965
